Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star,MVP
lewiski01,20,0.466,1.6,2.0,5.9,0.0,0.5,Kira Lewis Jr.,G,PG,2022,False,N
lewissc01,21,0.568,0.0,0.5,0.5,0.0,0.5,Scottie Lewis,G,SG,2022,False,N
lillada01,31,0.55,4.1,7.3,24.0,0.4,0.6,Damian Lillard,G,PG,2022,False,N
littlna01,21,0.575,5.6,1.3,9.8,0.9,0.6,Nassir Little,F,SF,2022,False,N
liveris01,23,0.629,3.0,1.1,6.4,0.4,0.7,Isaiah Livers,F,SF,2022,False,N
looneke01,25,0.586,7.3,2.0,6.0,0.6,0.6,Kevon Looney,C,C,2022,False,N
lopezbr01,33,0.57,4.1,0.5,12.4,1.2,0.6,Brook Lopez,C,C,2022,False,N
lopezro01,33,0.57,3.5,1.5,7.1,0.5,0.1,Robin Lopez,C,C,2022,False,N
louzama01,22,0.36133333333333334,1.6666666666666667,0.5666666666666668,2.966666666666667,0.16666666666666666,0.16666666666666666,Didi Louzada,GF,SG-SF,2022,False,N
loveke01,33,0.594,7.2,2.2,13.6,0.2,0.4,Kevin Love,C,C,2022,False,N
lowryky01,35,0.6,4.5,7.5,13.4,0.3,1.1,Kyle Lowry,G,PG,2022,False,N
lundbga01,27,0.342,1.8,2.8,3.3,0.0,0.8,Gabriel Lundberg,G,SG,2022,False,N
luwawti01,26,0.556,1.6,0.8,4.4,0.1,0.3,Timothé Luwawu-Cabarrot,F,SF,2022,False,N
lylestr01,26,0.592,5.166666666666666,1.2,10.5,0.39999999999999997,0.3666666666666667,Trey Lyles,F,PF,2022,False,N
maledth01,20,0.5,2.6,2.2,7.1,0.2,0.6,Théo Maledon,G,PG,2022,False,N
mamuksa01,22,0.618,2.0,0.5,3.8,0.2,0.2,Sandro Mamukelashvili,F,PF,2022,False,N
mannte01,25,0.572,5.2,2.6,10.8,0.3,0.7,Terance Mann,F,SF,2022,False,N
manntr01,20,0.501,2.9,1.5,10.4,0.2,0.8,Tre Mann,G,PG,2022,False,N
marjabo01,33,0.615,1.7,0.1,4.3,0.1,0.0,Boban Marjanović,C,C,2022,False,N
markkla01,24,0.582,5.7,1.3,14.8,0.5,0.7,Lauri Markkanen,F,SF,2022,False,N
marshna01,24,0.505,2.6,1.1,5.7,0.1,0.6,Naji Marshall,F,SF,2022,False,N
martica02,26,0.611,3.8,1.1,9.2,0.5,1.0,Caleb Martin,F,SF,2022,False,N
martico01,26,0.579,4.0,2.5,7.7,0.5,1.2,Cody Martin,F,SF,2022,False,N
martike03,26,0.3253333333333333,1.5,0.5,4.0,0.19999999999999998,0.3,Kelan Martin,F,SF,2022,False,N
martike04,21,0.603,3.8,1.3,8.8,0.5,0.4,Kenyon Martin Jr.,F,SF,2022,False,N
mathega01,25,0.602,2.9,1.0,10.0,0.4,0.9,Garrison Mathews,G,SG,2022,False,N
mathida01,26,0.5,0.3,0.2,1.0,0.0,0.2,Dakota Mathias,G,SG,2022,False,N
matthwe02,35,0.536,1.9,0.7,5.1,0.2,0.5,Wesley Matthews,G,SG,2022,False,N
maxeyty01,21,0.594,3.2,4.3,17.5,0.4,0.7,Tyrese Maxey,G,PG,2022,False,N
mayssk01,24,0.589,0.9,0.6,2.9,0.0,0.3,Skylar Mays,G,SG,2022,False,N
