Player,Pos,RPG,APG,SPG,BPG,PPG,TS%,Pos_og,Year,All Star,MVP
Jordan Loyd,G,0.8,0.5,0.0,0.0,2.4,0.635,PG,2019,False,False
Kalin Lucas,G,3.0,1.0,0.0,0.0,2.0,0.532,PG,2019,False,False
Timothé Luwawu-Cabarrot,F,2.7,0.8,0.5,0.2,6.8,0.515,SF,2019,False,False
Tyler Lydon,F,0.7,0.2,0.1,0.0,0.9,0.595,PF,2019,False,False
Trey Lyles,F,3.8,1.4,0.5,0.4,8.5,0.5,PF,2019,False,False
Scott Machado,G,0.0,0.8,0.3,0.0,2.5,0.776,PG,2019,False,False
Shelvin Mack,G,0.5,0.3,0.5,0.0,2.3,0.251,PG,2019,False,False
Daryl Macon,G,1.5,0.9,0.1,0.0,3.6,0.482,SG,2019,False,False
J.P. Macura,G,1.5,1.0,0.0,0.0,3.0,0.333,SG,2019,False,False
Ian Mahinmi,C,3.8,0.7,0.7,0.5,4.1,0.531,C,2019,False,False
Thon Maker,F,3.7,0.9,0.4,1.1,5.5,0.514,PF,2019,False,False
Boban Marjanović,C,5.1,1.5,0.2,0.5,8.2,0.663,C,2019,False,False
Lauri Markkanen,F,9.0,1.4,0.7,0.6,18.7,0.553,PF,2019,False,False
Jarell Martin,F,1.7,0.4,0.1,0.2,2.7,0.528,PF,2019,False,False
Frank Mason III,G,1.1,2.2,0.4,0.1,5.1,0.502,PG,2019,False,False
Yante Maten,F,1.5,0.0,0.5,0.0,1.0,0.25,PF,2019,False,False
Wesley Matthews,G,2.8,2.4,0.9,0.2,10.9,0.543,SG,2019,False,False
Luc Mbah a Moute,F,1.8,0.5,0.3,0.3,5.0,0.495,PF,2019,False,False
Tahjere McCall,G,1.0,0.0,0.0,0.0,4.0,0.581,SG,2019,False,False
Patrick McCaw,G,1.7,1.0,0.8,0.1,2.7,0.569,SG,2019,False,False
CJ McCollum,G,4.0,3.0,0.8,0.4,21.0,0.553,SG,2019,False,False
T.J. McConnell,G,2.3,3.4,1.0,0.2,6.4,0.555,PG,2019,False,False
Doug McDermott,F,1.4,0.9,0.2,0.1,7.3,0.617,SF,2019,False,False
JaVale McGee,C,7.5,0.7,0.6,2.0,12.0,0.634,C,2019,False,False
Rodney McGruder,G,3.6,1.7,0.5,0.2,7.6,0.51,SG,2019,False,False
Alfonzo McKinnie,F,3.4,0.4,0.3,0.2,4.7,0.569,SF,2019,False,False
Ben McLemore,G,0.9,0.2,0.3,0.2,3.9,0.541,SG,2019,False,False
Jordan McRae,G,1.5,1.1,0.5,0.3,5.9,0.55,SG,2019,False,False
Jodie Meeks,G,1.5,1.0,0.1,0.1,6.4,0.647,SG,2019,False,False
Salah Mejri,C,3.6,1.0,0.3,0.7,3.9,0.559,C,2019,False,False
De'Anthony Melton,G,2.7,3.2,1.4,0.5,5.0,0.466,PG,2019,False,False
Chimezie Metu,F,1.2,0.4,0.2,0.1,1.8,0.389,PF,2019,False,False
Khris Middleton,F,6.0,4.3,1.0,0.1,18.3,0.558,SF,2019,True,False
C.J. Miles,F,2.1,1.1,0.6,0.4,9.3,0.544,SF,2019,False,False
Darius Miller,F,1.9,2.1,0.6,0.3,8.2,0.55,SF,2019,False,False
Malcolm Miller,F,0.5,0.1,0.1,0.1,3.5,0.63,SF,2019,False,False
Patty Mills,G,2.2,3.0,0.6,0.1,9.9,0.572,PG,2019,False,False
Paul Millsap,F,7.2,2.0,1.2,0.8,12.6,0.57,PF,2019,False,False
Shake Milton,G,1.8,0.9,0.4,0.4,4.4,0.483,SG,2019,False,False
Nikola Mirotić,F,5.4,1.4,0.7,0.6,11.6,0.562,PF,2019,False,False
Donovan Mitchell,G,4.1,4.2,1.4,0.4,23.8,0.537,SG,2019,False,False
Naz Mitrou-Long,G,0.4,1.1,0.1,0.1,1.1,0.383,SG,2019,False,False
Malik Monk,G,1.9,1.6,0.5,0.3,8.9,0.518,SG,2019,False,False
Greg Monroe,C,4.3,2.3,0.3,0.0,13.7,0.736,C,2019,False,False
E'Twaun Moore,G,2.4,1.9,0.8,0.2,11.9,0.567,SG,2019,False,False
Eric Moreland,F,4.3,1.0,0.3,0.3,1.8,0.5,PF,2019,False,False
Jaylen Morris,G,1.3,1.0,0.5,0.0,2.5,0.46,SG,2019,False,False
Marcus Morris,F,6.1,1.5,0.6,0.3,13.9,0.568,PF,2019,False,False
Markieff Morris,F,3.8,0.8,0.5,0.1,6.5,0.475,PF,2019,False,False
Monte Morris,G,2.4,3.6,0.9,0.0,10.4,0.577,PG,2019,False,False
Donatas Motiejūnas,F,1.0,0.3,0.0,0.3,2.0,0.436,PF,2019,False,False
Johnathan Motley,F,2.3,0.5,0.2,0.1,4.6,0.563,PF,2019,False,False
Emmanuel Mudiay,G,3.3,3.9,0.7,0.3,14.8,0.531,PG,2019,False,False
Jamal Murray,G,4.2,4.8,0.9,0.4,18.2,0.538,PG,2019,False,False
Džanan Musa,G,0.6,0.2,0.2,0.0,2.1,0.415,SG,2019,False,False
Mike Muscala,F,2.6,0.8,0.2,0.6,5.9,0.578,PF,2019,False,False
Svi Mykhailiuk,F,0.7,1.3,0.3,0.0,2.0,0.375,SF,2019,False,False
Abdel Nader,F,1.9,0.3,0.3,0.2,4.0,0.522,SF,2019,False,False
Larry Nance Jr.,C,8.2,3.2,1.5,0.6,9.4,0.583,C,2019,False,False
Shabazz Napier,G,1.8,2.6,0.7,0.3,9.4,0.534,PG,2019,False,False
Raul Neto,G,1.7,2.5,0.4,0.1,5.3,0.558,PG,2019,False,False
Georges Niang,F,1.5,0.6,0.2,0.1,4.0,0.613,PF,2019,False,False
Joakim Noah,C,5.7,2.1,0.5,0.7,7.1,0.571,C,2019,False,False
Nerlens Noel,C,4.2,0.6,0.9,1.2,4.9,0.608,C,2019,False,False
Dirk Nowitzki,F,3.1,0.7,0.2,0.4,7.3,0.469,PF,2019,True,False
Frank Ntilikina,G,2.0,2.8,0.7,0.3,5.7,0.417,PG,2019,False,False
James Nunnally,F,0.5,1.0,0.0,0.0,4.5,0.346,SF,2019,False,False
Jusuf Nurkić,C,10.4,3.2,1.0,1.4,15.6,0.57,C,2019,False,False
David Nwaba,F,3.2,1.1,0.7,0.3,6.5,0.558,SF,2019,False,False
Royce O'Neale,F,3.5,1.5,0.7,0.3,5.2,0.589,SF,2019,False,False
Kyle O'Quinn,C,2.6,1.2,0.2,0.6,3.5,0.537,C,2019,False,False
Semi Ojeleye,F,1.5,0.4,0.2,0.1,3.3,0.531,PF,2019,False,False
Jahlil Okafor,C,4.7,0.7,0.3,0.7,8.2,0.603,C,2019,False,False
Elie Okobo,G,1.8,2.4,0.6,0.1,5.7,0.489,PG,2019,False,False
Josh Okogie,G,2.9,1.2,1.2,0.4,7.7,0.492,SG,2019,False,False
Victor Oladipo,G,5.6,5.2,1.7,0.3,18.8,0.519,SG,2019,True,False
Kelly Olynyk,F,4.7,1.8,0.7,0.5,10.0,0.61,PF,2019,False,False
Cedi Osman,F,4.7,2.6,0.8,0.1,13.0,0.536,SF,2019,False,False
Kelly Oubre Jr.,F,4.9,1.6,1.4,1.0,16.9,0.555,SF,2019,False,False
Zaza Pachulia,C,3.9,1.3,0.5,0.3,3.9,0.539,C,2019,False,False
Jabari Parker,F,7.2,2.7,0.9,0.6,15.0,0.587,PF,2019,False,False
Tony Parker,G,1.5,3.7,0.4,0.1,9.5,0.512,PG,2019,False,False
Chandler Parsons,F,2.8,1.7,0.8,0.2,7.5,0.484,SF,2019,False,False
Patrick Patterson,F,2.3,0.5,0.3,0.2,3.6,0.493,PF,2019,False,False
Justin Patton,C,2.0,1.0,0.7,0.0,1.7,0.317,C,2019,False,False
Chris Paul,G,4.6,8.2,2.0,0.3,15.6,0.56,PG,2019,False,False
Cameron Payne,G,2.1,2.6,0.9,0.3,8.2,0.596,PG,2019,False,False
Elfrid Payton,G,5.2,7.6,1.0,0.4,10.6,0.502,PG,2019,False,False
Gary Payton II,G,0.7,1.3,1.0,0.3,3.7,0.688,PG,2019,False,False
Theo Pinson,G,2.0,1.2,0.3,0.0,4.5,0.49,SG,2019,False,False
Mason Plumlee,C,6.4,3.0,0.8,0.9,7.8,0.602,C,2019,False,False
Miles Plumlee,C,2.2,0.9,0.3,0.2,4.4,0.654,C,2019,False,False
Jakob Poeltl,C,5.3,1.2,0.4,0.9,5.5,0.64,C,2019,False,False
Quincy Pondexter,F,0.9,0.5,0.2,0.0,1.8,0.641,SF,2019,False,False
Otto Porter Jr.,F,5.5,2.7,1.2,0.6,17.5,0.609,SF,2019,False,False
Bobby Portis,F,8.6,1.5,0.9,0.4,14.3,0.53,PF,2019,False,False
Dwight Powell,C,5.3,1.5,0.6,0.6,10.6,0.682,C,2019,False,False
Norman Powell,G,2.3,1.5,0.7,0.2,8.6,0.596,SG,2019,False,False
Alex Poythress,F,3.6,0.8,0.2,0.5,5.1,0.571,PF,2019,False,False
Taurean Prince,F,3.6,2.1,1.0,0.3,13.5,0.575,SF,2019,False,False
Zhou Qi,F,0.0,0.0,0.0,0.0,2.0,1.0,PF,2019,False,False
Ivan Rabb,F,4.2,1.1,0.3,0.3,5.8,0.586,PF,2019,False,False
Chasson Randle,G,1.1,2.0,0.5,0.1,5.5,0.555,PG,2019,False,False
Julius Randle,F,8.7,3.1,0.7,0.6,21.4,0.6,PF,2019,False,False
J.J. Redick,G,2.4,2.7,0.4,0.2,18.1,0.602,SG,2019,False,False
Davon Reed,G,0.6,0.3,0.1,0.0,1.2,0.5,SG,2019,False,False
Cameron Reynolds,G,1.6,0.7,0.3,0.1,5.0,0.58,SG,2019,False,False
Josh Richardson,G,3.6,4.1,1.1,0.5,16.6,0.536,SG,2019,False,False
Malachi Richardson,G,0.6,0.0,0.0,0.0,1.4,0.481,SG,2019,False,False
Austin Rivers,G,1.9,2.3,0.6,0.3,8.7,0.511,SG,2019,False,False
Devin Robinson,F,2.9,0.9,0.6,0.9,6.7,0.616,SF,2019,False,False
Duncan Robinson,F,1.3,0.3,0.3,0.0,3.3,0.514,SF,2019,False,False
Glenn Robinson III,F,1.5,0.4,0.3,0.2,4.2,0.511,SF,2019,False,False
Jerome Robinson,G,1.2,0.6,0.3,0.1,3.4,0.491,SG,2019,False,False
Mitchell Robinson,C,6.4,0.6,0.8,2.4,7.3,0.692,C,2019,False,False
Rajon Rondo,G,5.3,8.0,1.2,0.2,9.2,0.473,PG,2019,False,False
Derrick Rose,G,2.7,4.3,0.6,0.2,18.0,0.557,PG,2019,False,False
Terrence Ross,G,3.5,1.7,0.9,0.4,15.1,0.561,SG,2019,False,False
Terry Rozier,G,3.9,2.9,0.9,0.3,9.0,0.501,PG,2019,False,False
Ricky Rubio,G,3.6,6.1,1.3,0.1,12.7,0.52,PG,2019,False,False
D'Angelo Russell,G,3.9,7.0,1.2,0.2,21.1,0.533,PG,2019,False,False
Domantas Sabonis,C,9.3,2.9,0.6,0.4,14.1,0.63,C,2019,False,False
Brandon Sampson,G,1.1,0.7,0.6,0.2,5.1,0.567,SG,2019,False,False
JaKarr Sampson,F,8.0,1.0,1.0,0.8,20.0,0.633,SF,2019,False,False
Dario Šarić,F,5.5,1.5,0.6,0.1,10.5,0.579,PF,2019,False,False
Tomáš Satoranský,G,3.5,5.0,1.0,0.2,8.9,0.59,PG,2019,False,False
Dennis Schröder,G,3.6,4.1,0.8,0.2,15.5,0.508,PG,2019,False,False
Mike Scott,F,3.8,0.8,0.3,0.2,7.8,0.537,PF,2019,False,False
Thabo Sefolosha,F,2.5,0.5,0.9,0.1,3.8,0.599,SF,2019,False,False
Wayne Selden,G,3.2,1.7,0.5,0.2,8.0,0.489,SG,2019,False,False
Collin Sexton,G,2.9,3.0,0.5,0.1,16.7,0.52,PG,2019,False,False
Landry Shamet,G,2.2,2.3,0.5,0.1,10.9,0.601,SG,2019,False,False
Iman Shumpert,G,2.7,1.1,0.6,0.2,4.6,0.456,SG,2019,False,False
Pascal Siakam,F,6.9,3.1,0.9,0.7,16.9,0.628,PF,2019,False,False
Jordan Sibert,G,0.0,0.0,0.0,0.0,3.0,1.5,SG,2019,False,False
Ben Simmons,G,8.8,7.7,1.4,0.8,16.9,0.582,PG,2019,True,False
Jonathon Simmons,F,1.7,2.2,0.7,0.1,5.5,0.553,SF,2019,False,False
Anfernee Simons,G,0.7,0.7,0.1,0.0,3.8,0.535,SG,2019,False,False
Marcus Smart,G,2.9,4.0,1.8,0.4,8.9,0.568,SG,2019,False,False
Dennis Smith Jr.,G,2.8,5.4,1.3,0.4,14.7,0.473,PG,2019,False,False
Ish Smith,G,2.6,3.6,0.5,0.2,8.9,0.485,PG,2019,False,False
J.R. Smith,G,1.6,1.9,1.0,0.3,6.7,0.444,SG,2019,False,False
Jason Smith,C,2.0,0.5,0.0,0.0,4.0,0.405,C,2019,False,False
Zhaire Smith,G,2.2,1.7,0.3,0.3,6.7,0.533,SG,2019,False,False
Tony Snell,F,2.1,0.9,0.4,0.2,6.0,0.585,SF,2019,False,False
Ray Spalding,F,3.7,0.4,0.7,0.6,4.2,0.516,PF,2019,False,False
Omari Spellman,F,4.2,1.0,0.6,0.5,5.9,0.516,PF,2019,False,False
Nik Stauskas,G,2.0,0.8,0.3,0.1,5.5,0.544,SG,2019,False,False
D.J. Stephens,G,0.0,0.0,1.0,0.0,2.0,0.5,SG,2019,False,False
Lance Stephenson,G,3.2,2.1,0.6,0.1,7.2,0.529,SG,2019,False,False
Edmond Sumner,G,1.0,0.4,0.5,0.2,2.9,0.443,PG,2019,False,False
Caleb Swanigan,F,4.0,1.3,0.7,0.3,2.7,0.405,PF,2019,False,False
Jayson Tatum,F,6.0,2.1,1.1,0.7,15.7,0.547,SF,2019,False,False
Jeff Teague,G,2.5,8.2,1.0,0.4,12.1,0.528,PG,2019,False,False
Garrett Temple,G,2.5,1.4,1.0,0.2,4.7,0.514,SG,2019,False,False
Miloš Teodosić,G,1.1,2.1,0.2,0.1,3.2,0.557,PG,2019,False,False
Jared Terrell,G,0.4,0.9,0.2,0.1,2.2,0.372,SG,2019,False,False
Emanuel Terry,F,1.0,1.0,0.0,0.0,1.0,0.266,PF,2019,False,False
Daniel Theis,C,3.4,1.0,0.3,0.6,5.7,0.624,C,2019,False,False
Isaiah Thomas,G,1.1,1.9,0.4,0.1,8.1,0.437,SG,2019,False,False
Khyri Thomas,G,0.8,0.3,0.3,0.2,2.3,0.413,SG,2019,False,False
Lance Thomas,F,2.5,0.6,0.4,0.2,4.5,0.482,PF,2019,False,False
Klay Thompson,G,3.8,2.4,1.1,0.6,21.5,0.571,SG,2019,True,False
Tristan Thompson,C,10.2,2.0,0.7,0.4,10.9,0.551,C,2019,False,False
Sindarius Thornwell,G,0.7,0.3,0.2,0.1,1.0,0.485,SG,2019,False,False
Anthony Tolliver,F,2.7,0.7,0.3,0.3,5.0,0.571,PF,2019,False,False
Karl-Anthony Towns,C,12.4,3.4,0.9,1.6,24.4,0.622,C,2019,True,False
Gary Trent Jr.,G,0.7,0.3,0.1,0.1,2.7,0.377,SG,2019,False,False
Allonzo Trier,G,3.1,1.9,0.4,0.2,10.9,0.564,SG,2019,False,False
P.J. Tucker,F,5.8,1.2,1.6,0.5,7.3,0.547,PF,2019,False,False
Evan Turner,G,4.5,3.9,0.5,0.2,6.8,0.504,PG,2019,False,False
Myles Turner,C,7.2,1.6,0.8,2.7,13.3,0.567,C,2019,False,False
Ekpe Udoh,C,1.8,0.5,0.2,0.6,2.3,0.698,C,2019,False,False
Jonas Valančiūnas,C,10.7,2.2,0.3,1.6,19.9,0.594,C,2019,False,False
Jarred Vanderbilt,F,1.4,0.2,0.4,0.1,1.4,0.513,PF,2019,False,False
Fred VanVleet,G,2.6,4.8,0.9,0.3,11.0,0.539,PG,2019,False,False
Noah Vonleh,F,7.8,1.9,0.7,0.8,8.4,0.561,PF,2019,False,False
Nikola Vučević,C,12.0,3.8,1.0,1.1,20.8,0.573,C,2019,True,False
Dwyane Wade,G,4.0,4.2,0.8,0.5,15.0,0.51,SG,2019,True,False
Moritz Wagner,C,2.0,0.6,0.3,0.3,4.8,0.533,C,2019,False,False
Dion Waiters,G,2.6,2.8,0.7,0.2,12.0,0.53,SG,2019,False,False
Kemba Walker,G,4.4,5.9,1.2,0.4,25.6,0.558,PG,2019,True,False
Lonnie Walker IV,G,1.0,0.5,0.4,0.2,2.6,0.446,SG,2019,False,False
John Wall,G,3.6,8.7,1.5,0.9,20.7,0.527,PG,2019,False,False
Tyrone Wallace,G,1.6,0.7,0.3,0.1,3.5,0.45,PG,2019,False,False
Brad Wanamaker,G,1.1,1.6,0.3,0.1,3.9,0.597,PG,2019,False,False
T.J. Warren,F,4.0,1.5,1.2,0.7,18.0,0.58,SF,2019,False,False
Julian Washburn,F,2.3,0.8,0.7,0.1,2.2,0.402,SF,2019,False,False
Yuta Watanabe,F,2.1,0.5,0.3,0.1,2.6,0.352,SF,2019,False,False
Thomas Welsh,C,0.4,0.5,0.0,0.0,1.6,0.648,C,2019,False,False
Russell Westbrook,G,11.1,10.7,1.9,0.5,22.9,0.501,PG,2019,True,False
Derrick White,G,3.7,3.9,1.0,0.7,9.9,0.555,PG,2019,False,False
Okaro White,F,0.7,0.0,0.0,0.0,0.0,0.0,PF,2019,False,False
Hassan Whiteside,C,11.3,0.8,0.6,1.9,12.3,0.564,C,2019,False,False
Andrew Wiggins,F,4.8,2.5,1.0,0.7,18.1,0.493,SF,2019,False,False
Alan Williams,F,3.8,0.6,0.2,0.0,3.6,0.61,PF,2019,False,False
C.J. Williams,G,0.5,0.8,0.4,0.0,2.6,0.55,SG,2019,False,False
Johnathan Williams,C,4.1,0.5,0.3,0.3,6.5,0.599,C,2019,False,False
Kenrich Williams,F,4.8,1.8,1.0,0.4,6.1,0.485,SF,2019,False,False
Lou Williams,G,3.0,5.4,0.8,0.1,20.0,0.554,SG,2019,False,False
Marvin Williams,F,5.4,1.2,0.9,0.8,10.1,0.548,PF,2019,False,False
Robert Williams,C,2.5,0.2,0.3,1.3,2.5,0.703,C,2019,False,False
Troy Williams,F,2.8,0.5,0.5,0.4,5.3,0.531,SF,2019,False,False
D.J. Wilson,F,4.6,1.1,0.4,0.4,5.8,0.515,PF,2019,False,False
Justise Winslow,F,5.4,4.3,1.1,0.3,12.6,0.513,SF,2019,False,False
Christian Wood,F,7.9,0.8,0.9,1.3,16.9,0.613,PF,2019,False,False
Delon Wright,G,5.4,5.3,1.6,0.6,12.2,0.519,PG,2019,False,False
Guerschon Yabusele,F,1.3,0.4,0.2,0.2,2.3,0.542,PF,2019,False,False
Nick Young,G,0.3,0.5,0.0,0.3,2.3,0.5,SG,2019,False,False
Thaddeus Young,F,6.5,2.5,1.5,0.4,12.6,0.569,PF,2019,False,False
Trae Young,G,3.7,8.1,0.9,0.2,19.1,0.539,PG,2019,False,False
Cody Zeller,C,6.8,2.1,0.8,0.8,10.1,0.611,C,2019,False,False
Tyler Zeller,C,4.5,0.8,0.3,0.8,11.5,0.64,C,2019,False,False
Ante Žižić,C,5.4,0.9,0.2,0.4,7.8,0.59,C,2019,False,False
Ivica Zubac,C,7.7,1.5,0.4,0.9,9.4,0.574,C,2019,False,False
