Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star
thompkl01,32,0.572,4.2,2.4,21.8,0.4,0.7,Klay Thompson,G,SG,2023,False
thorjt01,20,0.515,2.1,0.5,3.7,0.3,0.3,JT Thor,F,PF,2023,False
thybuma01,25,0.5513333333333333,2.2666666666666666,0.8666666666666666,4.733333333333333,0.5333333333333333,1.2666666666666666,Matisse Thybulle,G,SG,2023,False
tillmxa01,24,0.622,5.0,1.6,7.0,0.5,0.9,Xavier Tillman Sr.,F,PF,2023,False
toddis01,21,0.25,0.0,0.0,0.5,0.0,0.0,Isaiah Todd,F,PF,2023,False
toppiob01,24,0.546,2.7,0.8,6.6,0.2,0.3,Obi Toppin,F,PF,2023,False
toscaju01,29,0.544,2.3333333333333335,1.1333333333333335,2.9,0.16666666666666666,0.26666666666666666,Juan Toscano-Anderson,F,SF,2023,False
townska01,27,0.616,8.1,4.8,20.4,0.5,0.7,Karl-Anthony Towns,F,PF,2023,False
trentga02,24,0.561,2.7,1.6,17.7,0.2,1.6,Gary Trent Jr.,G,SG,2023,False
tuckepj01,37,0.566,3.9,0.8,3.6,0.2,0.5,P.J. Tucker,F,PF,2023,False
turnemy01,26,0.651,7.5,1.4,18.0,2.3,0.6,Myles Turner,C,C,2023,False
umudest01,23,0.532,0.0,0.0,2.0,1.0,1.0,Stanley Umude,G,SG,2023,False
valanjo01,30,0.614,10.1,1.8,14.4,0.6,0.3,Jonas Valančiūnas,C,C,2023,False
vandeja01,23,0.6029999999999999,7.466666666666666,2.2666666666666666,7.866666666666667,0.3,1.1333333333333335,Jarred Vanderbilt,F,PF,2023,False
vanvlfr01,28,0.544,4.1,7.2,19.6,0.6,1.8,Fred VanVleet,G,PG,2023,False
vassede01,22,0.55,3.9,3.6,18.5,0.4,1.1,Devin Vassell,G,SG,2023,False
vincega01,26,0.54,2.2,2.4,9.7,0.1,0.9,Gabe Vincent,G,PG,2023,False
vonleno01,27,0.502,2.1,0.3,1.1,0.3,0.1,Noah Vonleh,C,C,2023,False
vucevni01,32,0.596,11.1,3.3,17.7,0.7,0.7,Nikola Vučević,C,C,2023,False
wadede01,26,0.546,3.4,0.8,4.5,0.5,0.6,Dean Wade,F,PF,2023,False
wagnefr01,21,0.59,4.1,3.6,18.8,0.2,0.9,Franz Wagner,F,SF,2023,False
wagnemo01,25,0.637,4.6,1.5,10.6,0.2,0.7,Moritz Wagner,C,C,2023,False
wainris01,28,0.536,2.3,0.9,4.2,0.4,0.7,Ish Wainright,F,SF,2023,False
walkeja01,20,0.502,2.3,0.6,3.6,0.2,0.2,Jabari Walker,F,SF,2023,False
